HGDP00001 HGDP00001 Brahui
HGDP00003 HGDP00003 Brahui
HGDP00005 HGDP00005 Brahui
HGDP00007 HGDP00007 Brahui
HGDP00009 HGDP00009 Brahui
HGDP00011 HGDP00011 Brahui
HGDP00013 HGDP00013 Brahui
HGDP00015 HGDP00015 Brahui
HGDP00017 HGDP00017 Brahui
HGDP00019 HGDP00019 Brahui
HGDP00021 HGDP00021 Brahui
HGDP00023 HGDP00023 Brahui
HGDP00025 HGDP00025 Brahui
HGDP00027 HGDP00027 Brahui
HGDP00029 HGDP00029 Brahui
HGDP00031 HGDP00031 Brahui
HGDP00033 HGDP00033 Brahui
HGDP00035 HGDP00035 Brahui
HGDP00037 HGDP00037 Brahui
HGDP00039 HGDP00039 Brahui
HGDP00041 HGDP00041 Brahui
HGDP00043 HGDP00043 Brahui
HGDP00045 HGDP00045 Brahui
HGDP00047 HGDP00047 Brahui
HGDP00049 HGDP00049 Brahui
HGDP00052 HGDP00052 Balochi
HGDP00054 HGDP00054 Balochi
HGDP00056 HGDP00056 Balochi
HGDP00057 HGDP00057 Balochi
HGDP00058 HGDP00058 Balochi
HGDP00060 HGDP00060 Balochi
HGDP00062 HGDP00062 Balochi
HGDP00064 HGDP00064 Balochi
HGDP00066 HGDP00066 Balochi
HGDP00068 HGDP00068 Balochi
HGDP00070 HGDP00070 Balochi
HGDP00072 HGDP00072 Balochi
HGDP00074 HGDP00074 Balochi
HGDP00076 HGDP00076 Balochi
HGDP00078 HGDP00078 Balochi
HGDP00080 HGDP00080 Balochi
HGDP00082 HGDP00082 Balochi
HGDP00086 HGDP00086 Balochi
HGDP00088 HGDP00088 Balochi
HGDP00090 HGDP00090 Balochi
HGDP00092 HGDP00092 Balochi
HGDP00094 HGDP00094 Balochi
HGDP00096 HGDP00096 Balochi
HGDP00098 HGDP00098 Balochi
HGDP00099 HGDP00099 Hazara
HGDP00100 HGDP00100 Hazara
HGDP00102 HGDP00102 Hazara
HGDP00103 HGDP00103 Hazara
HGDP00104 HGDP00104 Hazara
HGDP00105 HGDP00105 Hazara
HGDP00106 HGDP00106 Hazara
HGDP00108 HGDP00108 Hazara
HGDP00109 HGDP00109 Hazara
HGDP00110 HGDP00110 Hazara
HGDP00112 HGDP00112 Hazara
HGDP00115 HGDP00115 Hazara
HGDP00116 HGDP00116 Hazara
HGDP00118 HGDP00118 Hazara
HGDP00119 HGDP00119 Hazara
HGDP00120 HGDP00120 Hazara
HGDP00121 HGDP00121 Hazara
HGDP00122 HGDP00122 Hazara
HGDP00124 HGDP00124 Hazara
HGDP00125 HGDP00125 Hazara
HGDP00127 HGDP00127 Hazara
HGDP00129 HGDP00129 Hazara
HGDP00130 HGDP00130 Makrani
HGDP00131 HGDP00131 Makrani
HGDP00133 HGDP00133 Makrani
HGDP00134 HGDP00134 Makrani
HGDP00135 HGDP00135 Makrani
HGDP00136 HGDP00136 Makrani
HGDP00137 HGDP00137 Makrani
HGDP00139 HGDP00139 Makrani
HGDP00140 HGDP00140 Makrani
HGDP00141 HGDP00141 Makrani
HGDP00143 HGDP00143 Makrani
HGDP00144 HGDP00144 Makrani
HGDP00145 HGDP00145 Makrani
HGDP00146 HGDP00146 Makrani
HGDP00148 HGDP00148 Makrani
HGDP00149 HGDP00149 Makrani
HGDP00150 HGDP00150 Makrani
HGDP00151 HGDP00151 Makrani
HGDP00153 HGDP00153 Makrani
HGDP00154 HGDP00154 Makrani
HGDP00155 HGDP00155 Makrani
HGDP00157 HGDP00157 Makrani
HGDP00158 HGDP00158 Makrani
HGDP00160 HGDP00160 Makrani
HGDP00161 HGDP00161 Makrani
HGDP00163 HGDP00163 Sindhi
HGDP00165 HGDP00165 Sindhi
HGDP00167 HGDP00167 Sindhi
HGDP00169 HGDP00169 Sindhi
HGDP00171 HGDP00171 Sindhi
HGDP00173 HGDP00173 Sindhi
HGDP00175 HGDP00175 Sindhi
HGDP00177 HGDP00177 Sindhi
HGDP00179 HGDP00179 Sindhi
HGDP00181 HGDP00181 Sindhi
HGDP00183 HGDP00183 Sindhi
HGDP00185 HGDP00185 Sindhi
HGDP00187 HGDP00187 Sindhi
HGDP00189 HGDP00189 Sindhi
HGDP00191 HGDP00191 Sindhi
HGDP00192 HGDP00192 Sindhi
HGDP00195 HGDP00195 Sindhi
HGDP00197 HGDP00197 Sindhi
HGDP00199 HGDP00199 Sindhi
HGDP00201 HGDP00201 Sindhi
HGDP00205 HGDP00205 Sindhi
HGDP00206 HGDP00206 Sindhi
HGDP00208 HGDP00208 Sindhi
HGDP00210 HGDP00210 Sindhi
HGDP00213 HGDP00213 Pathan
HGDP00214 HGDP00214 Pathan
HGDP00216 HGDP00216 Pathan
HGDP00218 HGDP00218 Pathan
HGDP00222 HGDP00222 Pathan
HGDP00224 HGDP00224 Pathan
HGDP00226 HGDP00226 Pathan
HGDP00228 HGDP00228 Pathan
HGDP00230 HGDP00230 Pathan
HGDP00232 HGDP00232 Pathan
HGDP00234 HGDP00234 Pathan
HGDP00237 HGDP00237 Pathan
HGDP00239 HGDP00239 Pathan
HGDP00241 HGDP00241 Pathan
HGDP00243 HGDP00243 Pathan
HGDP00244 HGDP00244 Pathan
HGDP00251 HGDP00251 Pathan
HGDP00254 HGDP00254 Pathan
HGDP00258 HGDP00258 Pathan
HGDP00259 HGDP00259 Pathan
HGDP00262 HGDP00262 Pathan
HGDP00264 HGDP00264 Pathan
HGDP00267 HGDP00267 Kalash
HGDP00274 HGDP00274 Kalash
HGDP00277 HGDP00277 Kalash
HGDP00279 HGDP00279 Kalash
HGDP00281 HGDP00281 Kalash
HGDP00285 HGDP00285 Kalash
HGDP00286 HGDP00286 Kalash
HGDP00288 HGDP00288 Kalash
HGDP00290 HGDP00290 Kalash
HGDP00298 HGDP00298 Kalash
HGDP00302 HGDP00302 Kalash
HGDP00304 HGDP00304 Kalash
HGDP00307 HGDP00307 Kalash
HGDP00309 HGDP00309 Kalash
HGDP00311 HGDP00311 Kalash
HGDP00313 HGDP00313 Kalash
HGDP00315 HGDP00315 Kalash
HGDP00319 HGDP00319 Kalash
HGDP00323 HGDP00323 Kalash
HGDP00326 HGDP00326 Kalash
HGDP00328 HGDP00328 Kalash
